"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.687950570E-1,8.884668350E-3,4.620124400E-2,-9.584331512E-2,1.067681288E-1
5.735253700E-1,-3.619877994E-2,6.706046313E-2,-1.211500168E-1,1.431250640E-1
5.782556820E-1,-3.350450099E-2,5.692704022E-2,-2.292957306E-1,2.386205598E-1
5.829859420E-1,-2.148115635E-2,1.608660817E-2,-1.751794815E-1,1.772232202E-1
5.877162550E-1,4.679277539E-3,1.355263591E-2,-1.879549026E-1,1.885009682E-1
5.924465150E-1,-2.158124745E-2,-2.686969936E-2,-8.435249329E-2,9.112120559E-2
5.971768280E-1,-3.570255637E-2,-2.667216957E-2,-1.483440399E-2,4.696952951E-2
6.019070880E-1,-5.442395806E-2,-4.305690527E-4,-7.592201233E-3,5.495265344E-2
6.066374010E-1,-5.157741904E-2,-5.093663931E-4,6.840133667E-2,8.566932046E-2
6.113676610E-1,-3.454568982E-2,3.023134917E-2,7.969379425E-2,9.196977764E-2
6.160979740E-1,-5.802251399E-2,2.515125275E-2,-3.724098206E-2,7.338997471E-2
6.208282860E-1,-5.048337579E-2,2.248763293E-2,-1.555747986E-1,1.650993120E-1
6.255585470E-1,-3.831808269E-2,-3.936512768E-2,-2.017335892E-1,2.090797210E-1
6.302888590E-1,-3.102789819E-2,-5.321682990E-2,-2.142858505E-1,2.229645424E-1
6.350191200E-1,-2.608738840E-2,-5.986243486E-2,-1.460580826E-1,1.599907073E-1
6.397494320E-1,-5.200834572E-2,-4.989971220E-2,-1.163663864E-1,1.368794550E-1
6.444796920E-1,-4.443699121E-2,-9.200483561E-3,-1.106510162E-1,1.195949099E-1
6.492100050E-1,-8.481293917E-3,-2.003610134E-3,-9.074592590E-2,9.116342396E-2
6.539403170E-1,1.101031899E-3,-2.094042301E-2,1.792907715E-4,2.097011522E-2
6.586705780E-1,-3.693886101E-2,-4.206560552E-2,7.373905182E-2,9.258208457E-2
6.634008900E-1,-2.488635480E-2,-4.162956774E-2,1.466875076E-1,1.544978202E-1
6.681311510E-1,-3.188979626E-2,-4.125373065E-2,1.312313080E-1,1.412107843E-1
6.728614630E-1,-2.216874063E-2,-4.805563390E-2,-2.884674072E-2,6.027380410E-2
6.775917240E-1,-3.857447207E-2,-2.392539382E-2,-1.425037384E-1,1.495584495E-1
6.823220360E-1,-4.535153508E-2,7.178947330E-3,-1.128425598E-1,1.218266897E-1
6.870523490E-1,-2.599838376E-2,8.596479893E-5,-8.817100525E-2,9.192415088E-2
6.917826090E-1,-4.517540336E-3,2.599537373E-3,-2.008438110E-3,5.585659216E-3
6.965129220E-1,1.198263466E-2,-4.371389747E-3,1.024217606E-1,1.032129334E-1
7.012431820E-1,-2.502202988E-3,-4.447661340E-2,8.496379852E-2,9.593371263E-2
7.059734950E-1,-2.401295304E-2,-5.105522275E-2,1.127376556E-1,1.260675878E-1
7.107037550E-1,-3.814232349E-2,-2.918893099E-2,8.570003510E-2,9.824116525E-2
7.154340670E-1,-4.026114941E-2,-1.233392954E-2,1.617336273E-2,4.510724589E-2
7.201643280E-1,3.215968609E-4,4.380583763E-3,-8.361911774E-2,8.373440028E-2
7.248946400E-1,-2.173259854E-3,-2.167151868E-2,-1.185131073E-1,1.204978605E-1
7.296249530E-1,1.670819521E-2,-4.988004267E-2,-9.141921997E-2,1.054734859E-1
7.343552130E-1,2.356791496E-2,-4.463313520E-2,3.748226166E-2,6.286877852E-2
7.390855260E-1,4.215095937E-2,-3.945790231E-2,1.297178268E-1,1.419871263E-1
7.438157860E-1,3.450538218E-2,-2.248936892E-2,1.001672745E-1,1.083045520E-1
7.485460990E-1,2.234520018E-2,-3.184847534E-2,-2.168560028E-2,4.454097677E-2
7.532764110E-1,1.746135950E-2,2.059392631E-2,-4.049015045E-2,4.866683840E-2
7.580066720E-1,-3.880515695E-3,5.596055090E-2,-4.564285278E-3,5.628031947E-2
7.627369840E-1,-2.032586932E-2,4.360402375E-2,1.330966949E-1,1.415244928E-1
7.674672450E-1,1.248002052E-3,4.075805843E-2,1.604595184E-1,1.655597593E-1
